09-11 14:43:40 [INFO] wechatbot_client | Current Env: prod
09-11 14:49:04 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': 'd6f76236-8634-4eee-b327-d3d347b249d2', 'time': 1694414944.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '1511276027878562294', 'message': [MessageSegment(type='text', data={'text': '直接闷死'})], 'alt_message': '直接闷死', 'user_id': 'wxid_o4fspqpr99xe22', 'group_id': '44043383416@chatroom'}
09-11 14:49:06 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '0910d7cc-6c55-4e59-8173-13751eb5183e', 'time': 1694414946.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '1853669235138040404', 'message': [MessageSegment(type='text', data={'text': '草'})], 'alt_message': '草', 'user_id': 'wxid_o4fspqpr99xe22', 'group_id': '44043383416@chatroom'}
09-11 14:49:17 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '1027bebe-3b81-4ff0-95cb-30765eef670e', 'time': 1694414957.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '7417906306469022300', 'message': [MessageSegment(type='reply', data={'message_id': '3376249689518400625', 'user_id': '44043383416@chatroom'}), MessageSegment(type='text', data={'text': '我这边刚起床准备下去就打雷下雨了，然后辅导员就让我们先别下去'})], 'alt_message': '我这边刚起床准备下去就打雷下雨了，然后辅导员就让我们先别下去', 'user_id': 'wxid_38l0rozq3xbp22', 'group_id': '44043383416@chatroom'}
09-11 14:52:12 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '4ef553b8-5709-4bf4-8ba0-baecff6c16e9', 'time': 1694415130.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '518233938031077013', 'message': [MessageSegment(type='wx.emoji', data={'file_id': '1ee92215-be32-4417-976d-c277b1623d82'})], 'alt_message': '', 'user_id': 'wxid_o4fspqpr99xe22', 'group_id': '44043383416@chatroom'}
09-11 14:52:16 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '84efc8be-29e0-4048-beb2-9e4e8d4faa38', 'time': 1694415136.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '4682817122730425410', 'message': [MessageSegment(type='text', data={'text': '我们辅导员都不管的'})], 'alt_message': '我们辅导员都不管的', 'user_id': 'wxid_o4fspqpr99xe22', 'group_id': '44043383416@chatroom'}
09-11 14:52:34 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '6d120e5f-79c5-4bae-bf68-7b155cf6dff6', 'time': 1694415154.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '6974366767588473736', 'message': [MessageSegment(type='text', data={'text': '军训的时候都还是代班的师兄师姐带的我们'})], 'alt_message': '军训的时候都还是代班的师兄师姐带的我们', 'user_id': 'wxid_o4fspqpr99xe22', 'group_id': '44043383416@chatroom'}
09-11 14:54:01 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '53393ee2-c970-4151-a730-de41d61577ca', 'time': 1694415240.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '4106387321460128184', 'message': [MessageSegment(type='text', data={'text': '有没有玩了街霸6的好兄弟'})], 'alt_message': '有没有玩了街霸6的好兄弟', 'user_id': 'wxid_vgtptv85y4rc22', 'group_id': '44043383416@chatroom'}
09-11 14:54:01 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '64e6c0f1-7367-461c-bcce-b58199014347', 'time': 1694415241.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '2996220443450638339', 'message': [MessageSegment(type='text', data={'text': '我们的助班在另一个校区'})], 'alt_message': '我们的助班在另一个校区', 'user_id': 'wxid_38l0rozq3xbp22', 'group_id': '44043383416@chatroom'}
09-11 14:54:02 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': 'e91d3b07-8969-475e-801d-9862025e0ed6', 'time': 1694415242.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '1942992096644690333', 'message': [MessageSegment(type='text', data={'text': '真该死啊'})], 'alt_message': '真该死啊', 'user_id': 'wxid_rebgbh2a7fn111', 'group_id': '44043383416@chatroom'}
09-11 14:54:04 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '1d1e1f0d-f26e-4409-bde6-f17007e4ab81', 'time': 1694415244.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '5319068056359789309', 'message': [MessageSegment(type='text', data={'text': '想问一下上手难不'})], 'alt_message': '想问一下上手难不', 'user_id': 'wxid_vgtptv85y4rc22', 'group_id': '44043383416@chatroom'}
09-11 14:54:09 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '5a49638d-6c7c-47a6-bae7-fe7b9f0c3b25', 'time': 1694415249.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '7340608544072377727', 'message': [MessageSegment(type='text', data={'text': '纯格斗游戏萌新'})], 'alt_message': '纯格斗游戏萌新', 'user_id': 'wxid_vgtptv85y4rc22', 'group_id': '44043383416@chatroom'}
09-11 14:54:16 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '6b241365-d4d9-470e-96ae-15fedc1d68b4', 'time': 1694415256.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '735134815185267326', 'message': [MessageSegment(type='text', data={'text': '我们计算机学院有点奇怪，大二搬校区'})], 'alt_message': '我们计算机学院有点奇怪，大二搬校区', 'user_id': 'wxid_38l0rozq3xbp22', 'group_id': '44043383416@chatroom'}
